Tick,TrainID,X,Y,Direction,State
1,0,2,3,1,0
1,1,5,2,1,0
1,2,8,2,1,0
1,3,11,2,1,0
1,4,14,2,1,0
1,5,2,2,1,0
1,6,5,2,1,0
1,7,8,2,1,0
1,8,11,2,1,0
1,9,14,2,1,0
2,0,2,4,1,0
2,1,5,2,1,0
2,2,8,2,1,0
2,3,11,2,1,0
2,4,14,2,1,0
2,5,2,2,1,0
2,6,5,2,1,0
2,7,8,2,1,0
2,8,11,2,1,0
2,9,14,2,1,0
3,0,2,5,1,0
3,1,5,2,1,0
3,2,8,2,1,0
3,3,11,2,1,0
3,4,14,2,1,0
3,5,2,2,1,0
3,6,5,2,1,0
3,7,8,2,1,0
3,8,11,2,1,0
3,9,14,2,1,0
4,0,2,6,1,0
4,1,5,3,1,0
4,2,8,2,1,0
4,3,11,2,1,0
4,4,14,2,1,0
4,5,2,2,1,0
4,6,5,2,1,0
4,7,8,2,1,0
4,8,11,2,1,0
4,9,14,2,1,0
5,0,2,7,1,0
5,1,5,4,1,0
5,2,8,2,1,0
5,3,11,2,1,0
5,4,14,2,1,0
5,5,2,2,1,0
5,6,5,2,1,0
5,7,8,2,1,0
5,8,11,2,1,0
5,9,14,2,1,0
6,0,2,8,1,0
6,1,5,5,1,0
6,2,8,2,1,0
6,3,11,2,1,0
6,4,14,2,1,0
6,5,2,2,1,0
6,6,5,2,1,0
6,7,8,2,1,0
6,8,11,2,1,0
6,9,14,2,1,0
7,0,2,9,1,0
7,1,5,6,1,0
7,2,8,2,1,0
7,3,11,2,1,0
7,4,14,2,1,0
7,5,2,2,1,0
7,6,5,2,1,0
7,7,8,2,1,0
7,8,11,2,1,0
7,9,14,2,1,0
8,0,2,10,1,0
8,1,5,7,1,0
8,2,8,3,1,0
8,3,11,2,1,0
8,4,14,2,1,0
8,5,2,2,1,0
8,6,5,2,1,0
8,7,8,2,1,0
8,8,11,2,1,0
8,9,14,2,1,0
9,0,2,11,1,0
9,1,5,8,1,0
9,2,8,4,1,0
9,3,11,2,1,0
9,4,14,2,1,0
9,5,2,2,1,0
9,6,5,2,1,0
9,7,8,2,1,0
9,8,11,2,1,0
9,9,14,2,1,0
10,0,2,12,1,0
10,1,5,9,1,0
10,2,8,5,1,0
10,3,11,2,1,0
10,4,14,2,1,0
10,5,2,2,1,0
10,6,5,2,1,0
10,7,8,2,1,0
10,8,11,2,1,0
10,9,14,2,1,0
11,0,2,13,1,0
11,1,5,10,1,0
11,2,8,6,1,0
11,3,11,2,1,0
11,4,14,2,1,0
11,5,2,2,1,0
11,6,5,2,1,0
11,7,8,2,1,0
11,8,11,2,1,0
11,9,14,2,1,0
12,0,2,14,1,0
12,1,5,11,1,0
12,2,8,7,1,0
12,3,11,3,1,0
12,4,14,2,1,0
12,5,2,2,1,0
12,6,5,2,1,0
12,7,8,2,1,0
12,8,11,2,1,0
12,9,14,2,1,0
13,0,2,15,1,0
13,1,5,12,1,0
13,2,8,8,1,0
13,3,11,4,1,0
13,4,14,2,1,0
13,5,2,2,1,0
13,6,5,2,1,0
13,7,8,2,1,0
13,8,11,2,1,0
13,9,14,2,1,0
14,0,2,16,1,0
14,1,5,13,1,0
14,2,8,9,1,0
14,3,11,5,1,0
14,4,14,2,1,0
14,5,2,2,1,0
14,6,5,2,1,0
14,7,8,2,1,0
14,8,11,2,1,0
14,9,14,2,1,0
15,0,2,17,1,0
15,1,5,14,1,0
15,2,8,10,1,0
15,3,11,6,1,0
15,4,14,2,1,0
15,5,2,2,1,0
15,6,5,2,1,0
15,7,8,2,1,0
15,8,11,2,1,0
15,9,14,2,1,0
16,0,2,18,1,0
16,1,5,15,1,0
16,2,8,11,1,0
16,3,11,7,1,0
16,4,14,3,1,0
16,5,2,2,1,0
16,6,5,2,1,0
16,7,8,2,1,0
16,8,11,2,1,0
16,9,14,2,1,0
17,0,2,19,1,0
17,1,5,16,1,0
17,2,8,12,1,0
17,3,11,8,1,0
17,4,14,4,1,0
17,5,2,2,1,0
17,6,5,2,1,0
17,7,8,2,1,0
17,8,11,2,1,0
17,9,14,2,1,0
18,0,2,20,1,0
18,1,5,17,1,0
18,2,8,13,1,0
18,3,11,9,1,0
18,4,14,5,1,0
18,5,2,2,1,0
18,6,5,2,1,0
18,7,8,2,1,0
18,8,11,2,1,0
18,9,14,2,1,0
19,0,2,21,1,0
19,1,5,18,1,0
19,2,8,14,1,0
19,3,11,10,1,0
19,4,14,6,1,0
19,5,2,2,1,0
19,6,5,2,1,0
19,7,8,2,1,0
19,8,11,2,1,0
19,9,14,2,1,0
20,0,2,22,1,0
20,1,5,19,1,0
20,2,8,15,1,0
20,3,11,11,1,0
20,4,14,7,1,0
20,5,2,3,1,0
20,6,5,2,1,0
20,7,8,2,1,0
20,8,11,2,1,0
20,9,14,2,1,0
21,0,2,23,1,0
21,1,5,20,1,0
21,2,8,16,1,0
21,3,11,12,1,0
21,4,14,8,1,0
21,5,2,4,1,0
21,6,5,2,1,0
21,7,8,2,1,0
21,8,11,2,1,0
21,9,14,2,1,0
22,0,2,24,1,0
22,1,5,21,1,0
22,2,8,17,1,0
22,3,11,13,1,0
22,4,14,9,1,0
22,5,2,5,1,0
22,6,5,2,1,0
22,7,8,2,1,0
22,8,11,2,1,0
22,9,14,2,1,0
23,0,2,25,1,0
23,1,5,22,1,0
23,2,8,18,1,0
23,3,11,14,1,0
23,4,14,10,1,0
23,5,2,6,1,0
23,6,5,2,1,0
23,7,8,2,1,0
23,8,11,2,1,0
23,9,14,2,1,0
24,0,2,26,1,0
24,1,5,23,1,0
24,2,8,19,1,0
24,3,11,15,1,0
24,4,14,11,1,0
24,5,2,7,1,0
24,6,5,3,1,0
24,7,8,2,1,0
24,8,11,2,1,0
24,9,14,2,1,0
25,0,2,27,1,0
25,1,5,24,1,0
25,2,8,20,1,0
25,3,11,16,1,0
25,4,14,12,1,0
25,5,2,8,1,0
25,6,5,4,1,0
25,7,8,2,1,0
25,8,11,2,1,0
25,9,14,2,1,0
26,0,2,28,1,0
26,1,5,25,1,0
26,2,8,21,1,0
26,3,11,17,1,0
26,4,14,13,1,0
26,5,2,9,1,0
26,6,5,5,1,0
26,7,8,2,1,0
26,8,11,2,1,0
26,9,14,2,1,0
27,0,2,29,1,0
27,1,5,26,1,0
27,2,8,22,1,0
27,3,11,18,1,0
27,4,14,14,1,0
27,5,2,10,1,0
27,6,5,6,1,0
27,7,8,2,1,0
27,8,11,2,1,0
27,9,14,2,1,0
28,0,2,30,1,0
28,1,5,27,1,0
28,2,8,23,1,0
28,3,12,18,2,0
28,4,14,15,1,0
28,5,2,11,1,0
28,6,5,7,1,0
28,7,8,3,1,0
28,8,11,2,1,0
28,9,14,2,1,0
29,0,2,31,1,0
29,1,5,28,1,0
29,2,8,24,1,0
29,3,13,18,2,0
29,4,14,16,1,0
29,5,2,12,1,0
29,6,5,8,1,0
29,7,8,4,1,0
29,8,11,2,1,0
29,9,14,2,1,0
30,0,2,32,1,0
30,1,5,29,1,0
30,2,8,25,1,0
30,3,14,18,2,0
30,4,14,17,1,0
30,5,2,13,1,0
30,6,5,9,1,0
30,7,8,5,1,0
30,8,11,2,1,0
30,9,14,2,1,0
31,0,2,33,1,0
31,1,5,30,1,0
31,2,8,26,1,0
31,3,15,18,2,0
31,4,14,18,1,0
31,5,2,14,1,0
31,6,5,10,1,0
31,7,8,6,1,0
31,8,11,2,1,0
31,9,14,2,1,0
32,0,2,34,1,1
32,1,5,31,1,0
32,2,8,27,1,0
32,3,16,18,2,0
32,4,14,19,1,0
32,5,2,15,1,0
32,6,5,11,1,0
32,7,8,7,1,0
32,8,11,3,1,0
32,9,14,2,1,0
33,0,2,34,1,1
33,1,5,32,1,0
33,2,8,28,1,0
33,3,17,18,2,1
33,4,14,20,1,0
33,5,2,16,1,0
33,6,5,12,1,0
33,7,8,8,1,0
33,8,11,4,1,0
33,9,14,2,1,0
34,0,2,34,1,1
34,1,5,33,1,0
34,2,8,29,1,0
